airport_code,vmc_hourly_capacity,imc_hourly_capacity,source
ANC,108,78,faa_profile_approx
ATL,200,176,faa_profile_approx
BOS,126,96,faa_profile_approx
CLT,140,108,faa_profile_approx
DEN,216,189,faa_profile_approx
DFW,196,164,faa_profile_approx
DTW,150,128,faa_profile_approx
EWR,94,78,faa_profile_approx
IAH,156,128,faa_profile_approx
JFK,100,88,faa_profile_approx
LAS,130,108,faa_profile_approx
LAX,149,128,faa_profile_approx
LGA,81,74,faa_profile_approx
MCO,146,120,faa_profile_approx
MIA,124,96,faa_profile_approx
MSP,144,120,faa_profile_approx
ORD,170,130,faa_profile_approx
PHL,108,76,faa_profile_approx
PHX,140,118,faa_profile_approx
SEA,98,68,faa_profile_approx
SFO,120,60,faa_profile_approx
SNA,56,38,faa_profile_approx
