airport_code,year,month,flights_total,flights_delayed_15,avg_delay_min,pct_delay_nas,pct_delay_weather,pct_delay_carrier,pct_delay_late_aircraft
ACK,2026,5,59,13,14.25,0.2892,0.0167,0.1409,0.5533
ANC,2026,4,1333,130,6.87,0.0545,0.0939,0.5294,0.3222
ANC,2026,5,1818,242,8.74,0.1095,0.0253,0.5202,0.345
ATL,2026,4,26607,4487,10.79,0.2059,0.038,0.4514,0.3047
ATL,2026,5,27535,6052,14.45,0.2214,0.0333,0.4333,0.312
AUS,2026,4,7647,1724,15.78,0.2063,0.0366,0.3898,0.3674
AUS,2026,5,7831,2219,20.4,0.172,0.0868,0.3002,0.441
BDL,2026,4,1946,360,15.29,0.2017,0.0858,0.2465,0.4659
BDL,2026,5,1981,275,10.94,0.2405,0.0262,0.3161,0.4172
BGR,2026,4,243,43,14.82,0.2353,0.0256,0.3276,0.4115
BGR,2026,5,355,64,18.76,0.165,0.0042,0.4222,0.4086
BNA,2026,4,9617,2313,15.1,0.1861,0.0259,0.3184,0.4697
BNA,2026,5,9814,3358,20.28,0.1622,0.0185,0.3255,0.4938
BOS,2026,4,12626,2549,13.89,0.2653,0.0135,0.2943,0.4269
BOS,2026,5,12694,2275,12.46,0.3197,0.0176,0.2751,0.3876
BTV,2026,4,497,83,24.44,0.194,0.1275,0.4518,0.2266
BTV,2026,5,549,74,12.68,0.2072,0.1043,0.2928,0.3958
BWI,2026,4,8041,1946,13.8,0.2233,0.0662,0.3457,0.3648
BWI,2026,5,8161,2317,16.76,0.2093,0.0311,0.3615,0.398
CLT,2026,4,15396,3287,14.98,0.1616,0.0176,0.3357,0.4851
CLT,2026,5,15778,3663,15.74,0.1845,0.0552,0.3291,0.4312
DCA,2026,4,11802,2768,18.66,0.1852,0.0521,0.248,0.5148
DCA,2026,5,12158,2847,17.47,0.2457,0.0641,0.2375,0.4527
DEN,2026,4,25345,4687,11.54,0.1936,0.0674,0.3762,0.3628
DEN,2026,5,27406,6540,15.03,0.2016,0.0331,0.33,0.4353
DFW,2026,4,25686,6825,18.49,0.149,0.0821,0.2703,0.4986
DFW,2026,5,27419,7677,21.02,0.1505,0.1205,0.2727,0.4563
DTW,2026,4,10417,1674,11.77,0.2418,0.0583,0.5075,0.1924
DTW,2026,5,10112,1867,13.85,0.1857,0.0869,0.5343,0.1931
EWR,2026,4,10358,1432,9.74,0.3258,0.0164,0.3166,0.3412
EWR,2026,5,10300,1316,10.2,0.3016,0.0922,0.3394,0.2668
FLL,2026,4,8610,2477,20.34,0.2587,0.0228,0.3336,0.3849
FLL,2026,5,6437,1628,16.57,0.2535,0.0439,0.2588,0.4438
HNL,2026,4,4809,872,10.33,0.1336,0.0149,0.5915,0.26
HNL,2026,5,4953,792,9.45,0.1671,0.0355,0.4785,0.3189
IAD,2026,4,4843,517,9.45,0.2953,0.0225,0.3771,0.3052
IAD,2026,5,5474,729,12.77,0.2468,0.0719,0.3206,0.3607
IAH,2026,4,10022,1875,14.45,0.2416,0.0619,0.305,0.3915
IAH,2026,5,10105,2473,18.88,0.1906,0.077,0.3151,0.4172
JFK,2026,4,8254,1315,11.1,0.3175,0.0065,0.3187,0.3572
JFK,2026,5,8535,1368,13.15,0.2912,0.0677,0.3154,0.3257
LAS,2026,4,14672,3776,14.67,0.1706,0.0114,0.32,0.498
LAS,2026,5,14585,4295,18.65,0.1691,0.0194,0.3488,0.4627
LAX,2026,4,15732,2963,12.86,0.2167,0.01,0.4026,0.3706
LAX,2026,5,16317,3316,14.23,0.2286,0.0145,0.356,0.4009
LGA,2026,4,11443,2495,16.1,0.278,0.0109,0.2385,0.4727
LGA,2026,5,11375,2468,16.42,0.2821,0.0368,0.2684,0.4127
MCO,2026,4,14604,3281,14.56,0.2512,0.018,0.287,0.4438
MCO,2026,5,12958,3162,15.85,0.2204,0.045,0.3086,0.4261
MDW,2026,4,6282,1413,12.87,0.2331,0.0402,0.3139,0.4128
MDW,2026,5,6269,1968,17.38,0.1747,0.018,0.3941,0.4132
MHT,2026,4,553,85,9.69,0.2442,0.0,0.2486,0.5072
MHT,2026,5,582,94,12.53,0.2748,0.0049,0.449,0.2713
MIA,2026,4,9556,2216,16.0,0.2127,0.0201,0.3196,0.4477
MIA,2026,5,9296,2240,17.31,0.2048,0.0294,0.3362,0.4295
MSP,2026,4,9639,1364,10.96,0.2406,0.1015,0.5042,0.1537
