airport_code,year,month,operations_total,itinerant_ops,local_ops
ACK,2024,6,4090,2436,1654
ACK,2024,7,4002,2384,1618
ACK,2024,8,3972,2366,1606
ACK,2024,9,3473,2069,1404
ACK,2024,10,3335,1987,1348
ACK,2024,11,3269,1947,1322
ACK,2024,12,3371,2008,1363
ACK,2025,1,2830,1686,1144
ACK,2025,2,2852,1699,1153
ACK,2025,3,3127,1863,1264
ACK,2025,4,3566,2124,1442
ACK,2025,5,3744,2230,1514
ACK,2025,6,3718,2215,1503
ACK,2025,7,4401,2622,1779
ACK,2025,8,3732,2223,1509
ACK,2025,9,3777,2250,1527
ACK,2025,10,3702,2205,1497
ACK,2025,11,3330,1984,1346
ACK,2025,12,3314,1974,1340
ACK,2026,1,3149,1876,1273
ACK,2026,2,2911,1734,1177
ACK,2026,3,3730,2222,1508
ACK,2026,4,3462,2062,1400
ACK,2026,5,3592,2140,1452
ANC,2024,6,13592,11954,1638
ANC,2024,7,14333,12606,1727
ANC,2024,8,13938,12258,1680
ANC,2024,9,12011,10564,1447
ANC,2024,10,12281,10801,1480
ANC,2024,11,10372,9122,1250
ANC,2024,12,11012,9685,1327
ANC,2025,1,10249,9014,1235
ANC,2025,2,10036,8827,1209
ANC,2025,3,12000,10554,1446
ANC,2025,4,12060,10607,1453
ANC,2025,5,12278,10798,1480
ANC,2025,6,15307,13462,1845
ANC,2025,7,13761,12103,1658
ANC,2025,8,14292,12570,1722
ANC,2025,9,11484,10100,1384
ANC,2025,10,12465,10963,1502
ANC,2025,11,9915,8720,1195
ANC,2025,12,10465,9204,1261
ANC,2026,1,9709,8539,1170
ANC,2026,2,10193,8965,1228
ANC,2026,3,11325,9960,1365
ANC,2026,4,11512,10125,1387
ANC,2026,5,13421,11804,1617
ATL,2024,6,38080,35888,2192
ATL,2024,7,40130,37820,2310
ATL,2024,8,38814,36580,2234
ATL,2024,9,35501,33458,2043
ATL,2024,10,33941,31988,1953
ATL,2024,11,31893,30057,1836
ATL,2024,12,31503,29690,1813
ATL,2025,1,28858,27197,1661
ATL,2025,2,28023,26410,1613
ATL,2025,3,29757,28044,1713
ATL,2025,4,35744,33687,2057
ATL,2025,5,34288,32315,1973
ATL,2025,6,38045,35855,2190
ATL,2025,7,39950,37651,2299
ATL,2025,8,39605,37326,2279
ATL,2025,9,34133,32169,1964
ATL,2025,10,31986,30145,1841
ATL,2025,11,31803,29973,1830
ATL,2025,12,30996,29212,1784
ATL,2026,1,27998,26387,1611
ATL,2026,2,28171,26550,1621
ATL,2026,3,31908,30072,1836
ATL,2026,4,33889,31939,1950
ATL,2026,5,33044,31142,1902
AUG,2024,6,3684,2598,1086
AUG,2024,7,3635,2563,1072
AUG,2024,8,3640,2567,1073
AUG,2024,9,3016,2127,889
AUG,2024,10,3057,2156,901
AUG,2024,11,2705,1907,798
AUG,2024,12,2972,2096,876
AUG,2025,1,2535,1788,747
AUG,2025,2,2392,1687,705
AUG,2025,3,2586,1824,762
AUG,2025,4,2877,2029,848
AUG,2025,5,3217,2268,949
AUG,2025,6,3697,2607,1090
AUG,2025,7,3609,2545,1064
AUG,2025,8,3489,2460,1029
AUG,2025,9,3369,2376,993
AUG,2025,10,3069,2164,905
AUG,2025,11,2695,1900,795
AUG,2025,12,2723,1920,803
AUG,2026,1,2837,2000,837
AUG,2026,2,2503,1765,738
AUG,2026,3,2980,2101,879
AUG,2026,4,3141,2215,926
AUG,2026,5,3283,2315,968
AUS,2024,6,8850,7717,1133
AUS,2024,7,9777,8525,1252
AUS,2024,8,9519,8300,1219
AUS,2024,9,8323,7258,1065
AUS,2024,10,8202,7152,1050
AUS,2024,11,7191,6270,921
AUS,2024,12,7379,6434,945
AUS,2025,1,7130,6217,913
AUS,2025,2,7084,6177,907
AUS,2025,3,7485,6527,958
AUS,2025,4,7950,6932,1018
AUS,2025,5,9076,7914,1162
AUS,2025,6,9342,8146,1196
AUS,2025,7,9804,8549,1255
AUS,2025,8,9950,8676,1274
AUS,2025,9,8291,7230,1061
AUS,2025,10,8071,7038,1033
AUS,2025,11,7759,6766,993
AUS,2025,12,8187,7139,1048
AUS,2026,1,7054,6151,903
AUS,2026,2,7537,6572,965
AUS,2026,3,7440,6488,952
AUS,2026,4,8484,7398,1086
AUS,2026,5,8956,7810,1146
BDL,2024,6,12610,11345,1265
BDL,2024,7,12767,11487,1280
BDL,2024,8,13078,11766,1312
BDL,2024,9,11221,10096,1125
BDL,2024,10,10915,9820,1095
BDL,2024,11,10015,9011,1004
BDL,2024,12,10460,9411,1049
BDL,2025,1,9106,8193,913
BDL,2025,2,9635,8669,966
BDL,2025,3,10142,9125,1017
BDL,2025,4,10417,9372,1045
BDL,2025,5,11106,9992,1114
BDL,2025,6,12440,11192,1248
BDL,2025,7,13399,12055,1344
BDL,2025,8,12543,11285,1258
BDL,2025,9,10048,9040,1008
BDL,2025,10,11074,9963,1111
BDL,2025,11,9224,8299,925
BDL,2025,12,9638,8671,967
BDL,2026,1,9489,8537,952
BDL,2026,2,8755,7877,878
BDL,2026,3,10615,9550,1065
BDL,2026,4,11243,10115,1128
BDL,2026,5,10107,9093,1014
BED,2024,6,456,275,181
BED,2024,7,465,280,185
BED,2024,8,446,269,177
BED,2024,9,389,234,155
BED,2024,10,397,239,158
BED,2024,11,342,206,136
BED,2024,12,359,216,143
BED,2025,1,319,192,127
BED,2025,2,332,200,132
BED,2025,3,370,223,147
BED,2025,4,373,225,148
BED,2025,5,404,243,161
BED,2025,6,444,268,176
BED,2025,7,512,308,204
BED,2025,8,464,280,184
BED,2025,9,372,224,148
BED,2025,10,370,223,147
