origin,dest,year,month,carrier,passengers,seats,departures_performed,distance_miles
ACK,HYA,2024,6,NK,1572,1748,23,30.9
ACK,HYA,2024,7,NK,942,1260,20,30.9
ACK,HYA,2024,8,NK,1086,1121,19,30.9
ACK,HYA,2024,9,NK,1194,1340,20,30.9
ACK,HYA,2024,10,NK,1137,1254,22,30.9
ACK,HYA,2024,11,NK,835,1050,21,30.9
ACK,HYA,2024,12,NK,996,1120,20,30.9
ACK,HYA,2025,1,NK,801,1040,20,30.9
ACK,HYA,2025,2,NK,1263,1452,22,30.9
ACK,HYA,2025,3,NK,1181,1496,22,30.9
ACK,HYA,2025,4,NK,1131,1386,21,30.9
ACK,HYA,2025,5,NK,1141,1500,20,30.9
ACK,HYA,2025,6,NK,971,1320,20,30.9
ACK,HYA,2025,7,NK,1334,1554,21,30.9
ACK,HYA,2025,8,NK,1186,1368,19,30.9
ACK,HYA,2025,9,NK,1110,1357,23,30.9
ACK,HYA,2025,10,NK,1035,1155,21,30.9
ACK,HYA,2025,11,NK,1243,1512,21,30.9
ACK,HYA,2025,12,NK,1273,1564,23,30.9
ACK,HYA,2026,1,NK,1017,1216,19,30.9
ACK,HYA,2026,2,NK,1275,1500,20,30.9
ACK,HYA,2026,3,NK,995,1140,20,30.9
ACK,HYA,2026,4,NK,840,1219,23,30.9
ACK,HYA,2026,5,NK,924,1160,20,30.9
ACK,JFK,2024,6,WN,1392,1560,26,198.7
ACK,JFK,2024,7,WN,1183,1352,26,198.7
ACK,JFK,2024,8,WN,1169,1326,26,198.7
ACK,JFK,2024,9,WN,1377,1725,25,198.7
ACK,JFK,2024,10,WN,1115,1403,23,198.7
ACK,JFK,2024,11,WN,1287,1776,24,198.7
ACK,JFK,2024,12,WN,1639,1924,26,198.7
ACK,JFK,2025,1,WN,1603,1850,25,198.7
ACK,JFK,2025,2,WN,1240,1534,26,198.7
ACK,JFK,2025,3,WN,1170,1464,24,198.7
ACK,JFK,2025,4,WN,976,1188,22,198.7
ACK,JFK,2025,5,WN,1174,1380,23,198.7
ACK,JFK,2025,6,WN,1117,1368,24,198.7
ACK,JFK,2025,7,WN,1283,1675,25,198.7
ACK,JFK,2025,8,WN,1147,1408,22,198.7
ACK,JFK,2025,9,WN,1209,1430,26,198.7
ACK,JFK,2025,10,WN,1088,1242,23,198.7
ACK,JFK,2025,11,WN,1274,1606,22,198.7
ACK,JFK,2025,12,WN,1161,1512,24,198.7
ACK,JFK,2026,1,WN,1432,1704,24,198.7
ACK,JFK,2026,2,WN,1169,1380,23,198.7
ACK,JFK,2026,3,WN,1128,1633,23,198.7
ACK,JFK,2026,4,WN,982,1325,25,198.7
ACK,JFK,2026,5,WN,1022,1375,25,198.7
ACK,MIA,2024,6,DL,3076,3560,20,1217.6
ACK,MIA,2024,7,DL,3259,3780,21,1217.6
ACK,MIA,2024,8,DL,3093,3887,23,1217.6
ACK,MIA,2024,9,DL,3200,3402,21,1217.6
ACK,MIA,2024,10,DL,2577,3388,22,1217.6
ACK,MIA,2024,11,DL,2688,3473,23,1217.6
ACK,MIA,2024,12,DL,3011,3948,21,1217.6
ACK,MIA,2025,1,DL,3181,3703,23,1217.6
ACK,MIA,2025,2,DL,3287,3828,22,1217.6
ACK,MIA,2025,3,DL,3300,3806,22,1217.6
ACK,MIA,2025,4,DL,2991,3519,23,1217.6
ACK,MIA,2025,5,DL,3613,4370,23,1217.6
ACK,MIA,2025,6,DL,2884,3948,21,1217.6
ACK,MIA,2025,7,DL,3019,3322,22,1217.6
ACK,MIA,2025,8,DL,2814,3718,22,1217.6
ACK,MIA,2025,9,DL,3332,3762,22,1217.6
ACK,MIA,2025,10,DL,3272,4176,24,1217.6
ACK,MIA,2025,11,DL,3570,4186,23,1217.6
ACK,MIA,2025,12,DL,3053,3633,21,1217.6
ACK,MIA,2026,1,DL,3564,4117,23,1217.6
ACK,MIA,2026,2,DL,3309,4140,23,1217.6
ACK,MIA,2026,3,DL,2979,3864,23,1217.6
ACK,MIA,2026,4,DL,2754,3234,21,1217.6
ACK,MIA,2026,5,DL,2978,3498,22,1217.6
ACK,MVY,2024,6,DL,832,1007,19,30.3
ACK,MVY,2024,7,DL,769,1064,19,30.3
ACK,MVY,2024,8,DL,957,1060,20,30.3
ACK,MVY,2024,9,DL,862,1100,20,30.3
ACK,MVY,2024,10,DL,1400,1628,22,30.3
ACK,MVY,2024,11,DL,1263,1672,22,30.3
ACK,MVY,2024,12,DL,1047,1440,20,30.3
ACK,MVY,2025,1,DL,1178,1344,21,30.3
ACK,MVY,2025,2,DL,721,900,18,30.3
ACK,MVY,2025,3,DL,846,969,19,30.3
ACK,MVY,2025,4,DL,892,1000,20,30.3
ACK,MVY,2025,5,DL,1183,1480,20,30.3
ACK,MVY,2025,6,DL,997,1311,19,30.3
ACK,MVY,2025,7,DL,973,1281,21,30.3
ACK,MVY,2025,8,DL,882,1007,19,30.3
ACK,MVY,2025,9,DL,1170,1380,20,30.3
ACK,MVY,2025,10,DL,1254,1444,19,30.3
ACK,MVY,2025,11,DL,828,988,19,30.3
ACK,MVY,2025,12,DL,1129,1596,21,30.3
ACK,MVY,2026,1,DL,986,1292,19,30.3
ACK,MVY,2026,2,DL,804,1045,19,30.3
ACK,MVY,2026,3,DL,794,950,19,30.3
ACK,MVY,2026,4,DL,1278,1460,20,30.3
ACK,MVY,2026,5,DL,1031,1178,19,30.3
ACK,SFO,2024,6,UA,5694,7208,34,2760.7
ACK,SFO,2024,7,UA,5445,6912,32,2760.7
ACK,SFO,2024,8,UA,7712,9114,31,2760.7
ACK,SFO,2024,9,UA,8290,10476,36,2760.7
ACK,SFO,2024,10,UA,8657,11211,37,2760.7
ACK,SFO,2024,11,UA,8201,10656,36,2760.7
